lon,lat,obs,pred
-18.05,3.9500000000000055,0.3846786,27.954279
-18.05,4.05,0.16083379,9.049916
-18.05,4.150000000000008,0.015364923,8.456176
-18.05,4.250000000000003,0.112245895,10.207045
-18.05,4.350000000000011,0.30506626,10.013865
-18.05,4.4500000000000055,0.05088426,11.346452
-18.05,4.55,0.0,14.2225895
-18.05,4.650000000000008,0.015984718,14.958592
-18.05,4.750000000000003,0.0,16.49896
-18.05,4.850000000000011,0.014437673,16.716223
-18.05,4.9500000000000055,0.26173058,16.24213
-18.05,5.05,0.25374925,16.560017
-18.05,5.150000000000008,1.7585427,16.409323
-18.05,5.250000000000003,3.3768985,19.558588
-18.05,5.350000000000011,2.4815094,21.814096
-18.05,5.4500000000000055,0.99825084,25.6867
-18.05,5.55,0.41170487,25.211754
-18.05,5.650000000000008,0.016692763,27.317364
-18.05,5.750000000000003,0.0,28.99693
-18.05,5.850000000000011,0.123802975,30.698719
-18.05,5.9500000000000055,0.8964671,33.63843
-18.05,6.05,0.0,33.336693
-18.05,6.150000000000008,0.013909267,30.848358
-18.05,6.250000000000003,0.16399954,29.155191
-18.05,6.350000000000011,0.6004643,29.645016
-18.05,6.4500000000000055,1.8726242,32.02025
-18.05,6.55,0.8875781,33.82179
-18.05,6.650000000000008,0.0294848,36.039497
-18.05,6.750000000000003,1.8431208,35.664963
-18.05,6.850000000000011,0.9514327,36.965736
-18.05,6.9500000000000055,0.42656744,38.74884
-18.05,7.05,2.343658,38.589348
-18.05,7.150000000000008,2.8200016,36.487316
-18.05,7.250000000000003,4.5674295,36.19182
-18.05,7.350000000000011,5.405733,34.646397
-18.05,7.4500000000000055,2.742731,35.074413
-18.05,7.55,1.7064906,37.941235
-18.05,7.650000000000008,0.10545875,38.426773
-18.05,7.750000000000003,0.0,40.022015
-18.05,7.850000000000011,0.136791,41.207245
-18.05,7.9500000000000055,0.14404845,41.934654
-18.05,8.05,0.123681605,42.77208
-18.05,8.15000000000001,0.66044295,43.44009
-18.05,8.250000000000004,1.7208973,45.27473
-18.05,8.350000000000012,4.0047073,46.900146
-18.05,8.450000000000006,5.086216,51.5043
-18.05,8.55,11.691665,53.167484
-18.05,8.65000000000001,18.033651,53.531033
-18.05,8.750000000000004,28.069668,50.379597
-18.05,8.850000000000012,34.267223,47.3931
-18.05,8.950000000000006,32.35752,47.51984
-18.05,9.05,28.495682,49.239746
-18.05,9.15000000000001,31.713259,50.274902
-18.05,9.250000000000004,63.158398,53.99661
-18.05,9.350000000000012,64.815735,57.048847
-18.05,9.450000000000006,95.63446,56.81319
-18.05,9.55,108.440544,55.062912
-18.05,9.65000000000001,107.1998,50.212635
-18.05,9.750000000000004,88.99323,49.63362
-18.05,9.850000000000012,69.000465,50.19066
-18.05,9.950000000000006,49.066574,57.317745
-18.05,10.05,42.524834,58.641308
-18.05,10.15000000000001,38.818478,56.81009
-18.05,10.250000000000004,27.580673,53.51971
-18.05,10.350000000000012,11.459929,47.636284
-18.05,10.450000000000006,8.267365,43.257763
-18.05,10.55,5.4612727,40.367027
-18.05,10.65000000000001,1.000195,39.29036
-18.05,10.750000000000004,0.51275253,39.786804
-18.05,10.850000000000012,0.21278463,39.407276
-18.05,10.950000000000006,0.83085203,39.913635
-18.05,11.05,3.1375759,44.287
-18.05,11.15000000000001,3.3762467,45.38646
-18.05,11.250000000000004,2.4448154,42.9897
-18.05,11.350000000000012,3.8730066,43.274887
-18.05,11.450000000000006,8.414064,45.751823
-18.05,11.55,10.974984,50.075012
-18.05,11.65000000000001,12.101523,52.131702
-18.05,11.750000000000004,14.805223,49.41177
-18.05,11.850000000000012,8.249781,43.419956
-18.05,11.950000000000006,11.6212845,44.32619
-18.05,12.05,11.568643,42.21079
-18.05,12.15000000000001,2.892907,44.62571
-18.05,12.250000000000004,7.4554625,40.31012
-18.05,12.350000000000012,5.1453953,34.57741
-18.05,12.450000000000006,4.151553,32.470997
-18.05,12.55,4.1847706,30.754192
-18.05,12.65000000000001,2.0409539,31.198841
-18.05,12.750000000000004,1.2711147,31.562622
-18.05,12.850000000000012,0.76594085,29.068892
-18.05,12.950000000000006,0.6182394,27.420536
-18.05,13.05,0.085,26.556927
-18.05,13.15000000000001,0.0,26.02953
-18.05,13.250000000000004,0.0,25.736124
-18.05,13.350000000000012,0.0,26.064484
-18.05,13.450000000000006,0.08276089,27.345892
-18.05,13.55,0.094816335,27.553112
-18.05,13.65000000000001,0.0,26.31958
-18.05,13.750000000000004,0.0,24.932146
-18.05,13.850000000000012,0.0,24.277426
-18.05,13.950000000000006,0.06435721,24.680325
-18.05,14.05,0.32284608,26.292355
-18.05,14.15000000000001,0.0,26.19949
-18.05,14.250000000000004,0.066930786,27.30792
-18.05,14.350000000000012,0.0,30.422712
-18.05,14.450000000000006,0.0,30.661556
-18.05,14.55,0.0,30.388561
-18.05,14.65000000000001,0.0,27.458237
-18.05,14.750000000000004,0.0,25.929798
-18.05,14.850000000000012,0.0,23.861055
-18.05,14.950000000000006,0.0,23.340027
-18.05,15.05,0.0,21.442005
-18.05,15.15000000000001,0.0,20.7432
-18.05,15.250000000000004,0.0,18.69863
-18.05,15.350000000000012,0.0,17.739508
-18.05,15.450000000000006,0.0,16.174788
-18.05,15.55,0.0,15.975861
-18.05,15.65000000000001,0.04895683,14.05373
-18.05,15.750000000000004,0.0,15.461459
-18.05,15.850000000000012,0.0,15.162484
-18.05,15.950000000000006,0.0,15.765302
-18.05,16.05,0.0,12.537412
-18.05,16.15000000000001,0.0,11.259889
-18.05,16.250000000000004,0.0,11.080249
-18.05,16.350000000000012,2.1405547,11.661669
-18.05,16.450000000000006,0.7541947,15.557065
-18.05,16.55,0.0,12.632208
-18.05,16.65000000000001,0.0,10.807565
-18.05,16.750000000000004,0.0,9.56931
-18.05,16.850000000000012,0.0,9.854999
-18.05,16.950000000000006,0.0,11.749031
-18.05,17.05,0.0,13.372129
-18.05,17.15000000000001,0.0,14.713762
-18.05,17.250000000000004,0.0,10.06812
-18.05,17.350000000000012,0.0,8.607298
-18.05,17.450000000000006,0.0,5.0515175
-18.05,17.55,0.0,4.2583556
-18.05,17.65000000000001,0.0,4.419128
-18.05,17.750000000000004,0.0,4.8611927
-18.05,17.850000000000012,0.0,24.620802
-18.05,17.950000000000006,0.0,0.0
-17.95,3.9500000000000055,0.41607112,8.743453
-17.95,4.05,0.22038186,1.8461628
-17.95,4.150000000000008,0.052940194,2.5138388
-17.95,4.250000000000003,0.52461386,4.1429687
-17.95,4.350000000000011,0.30404535,4.392114
-17.95,4.4500000000000055,0.054059744,5.9592643
-17.95,4.55,0.09458319,8.727492
