Date,Observé,Prédit
2019-03-22,21.287855,11.533953
2019-03-23,3.5613012,11.304491
2019-03-24,6.3537116,8.208721
2019-03-25,5.726067,5.26805
2019-03-26,4.070385,9.655781
2019-03-27,5.127049,7.523055
2019-03-28,3.9839835,11.100201
2019-03-29,5.66977,8.388806
2019-03-30,9.166564,10.28674
2019-03-31,8.991508,12.327951
2019-04-01,5.8349795,11.0975065
2019-04-02,12.899493,9.542179
2019-04-03,11.874336,10.802061
2019-04-04,7.3238716,10.528371
2019-04-05,9.596801,10.262211
2019-04-06,2.771686,12.324789
2019-04-07,16.42749,11.105034
2019-04-08,11.668724,12.699513
2019-04-09,2.3911839,12.457944
2019-04-10,5.1803365,8.965661
2019-04-11,18.62179,8.950026
2019-04-12,10.183627,12.457999
2019-04-13,12.221552,11.134305
2019-04-14,11.568089,11.065667
2019-04-15,3.38962,7.778943
2019-04-16,8.184323,6.7838473
2019-04-17,6.8541384,11.081819
2019-04-18,7.6996512,12.439874
2019-04-19,8.2252245,11.190794
2019-04-20,3.7107592,9.746949
2019-04-21,5.911681,12.456661
2019-04-22,5.2320457,12.702538
2019-04-23,22.305391,12.458125
2019-04-24,10.807087,14.848633
2019-04-25,5.9136434,16.420523
2019-04-26,9.994134,15.0213585
2019-04-27,7.670331,12.794846
2019-04-28,4.021597,12.794647
2019-04-29,9.3660755,12.544615
2019-04-30,10.573251,13.047683
2019-05-01,11.963878,16.599928
2019-05-02,12.252979,17.855658
2019-05-03,22.589987,15.525441
2019-05-04,23.01342,17.814955
2019-05-05,4.742327,18.622755
2019-05-06,3.5861888,15.579973
2019-05-07,14.4157915,15.271253
2019-05-08,10.928387,16.219662
2019-05-09,17.088343,17.307707
2019-05-10,18.416033,15.869055
2019-05-11,17.322134,18.626339
2019-05-12,11.893317,18.306181
2019-05-13,19.24875,17.999504
2019-05-14,15.317305,16.154354
2019-05-15,29.52338,17.306795
2019-05-16,25.311562,21.090042
2019-05-17,8.971518,18.993666
2019-05-18,13.735156,17.530584
2019-05-19,14.772771,18.41062
2019-05-20,24.719816,21.02347
2019-05-21,21.869757,28.009048
2019-05-22,7.252957,20.069906
2019-05-23,13.7907,20.31169
2019-05-24,37.253544,18.471441
2019-05-25,30.179863,24.325085
2019-05-26,20.697847,23.022028
2019-05-27,19.872852,23.149967
2019-05-28,19.483591,21.301254
2019-05-29,23.240118,26.265415
2019-05-30,19.158752,21.07634
2019-05-31,36.2333,20.937769
2019-06-01,30.22841,23.667194
2019-06-02,15.172328,17.192793
2019-06-03,16.543463,23.482094
2019-06-04,18.541006,22.561028
2019-06-05,19.522621,26.997862
2019-06-06,34.522957,25.739607
2019-06-07,30.038755,18.343182
2019-06-08,14.992458,25.339615
2019-06-09,15.48593,22.6865
2019-06-10,18.929844,28.750496
2019-06-11,21.866924,28.700346
2019-06-12,19.169449,27.567856
2019-06-13,13.347756,28.258297
2019-06-14,32.762794,26.112062
2019-06-15,23.65709,24.261238
2019-06-16,13.880715,17.235367
2019-06-17,10.932411,17.6243
2019-06-18,8.093093,21.488358
2019-06-19,9.685624,22.969875
2019-06-20,13.164811,26.097603
2019-06-21,16.039442,24.897148
2019-06-22,34.194984,25.635777
2019-06-23,23.104029,28.272873
2019-06-24,39.73927,29.087156
2019-06-25,20.846508,27.885048
2019-06-26,22.916138,28.043272
2019-06-27,16.982141,23.75245
2019-06-28,22.846926,24.513891
2019-06-29,22.886185,27.613028
2019-06-30,17.960125,25.50802
2019-07-01,26.359488,28.226746
2019-07-02,22.399776,30.823446
2019-07-03,11.8078785,24.31939
2019-07-04,50.942772,27.950367
2019-07-05,45.79966,29.311192
2019-07-06,14.709179,27.678299
2019-07-07,31.911373,29.918045
2019-07-08,56.012486,30.450686
2019-07-09,36.641613,29.680235
2019-07-10,15.216368,25.689098
2019-07-11,27.079958,27.559381
2019-07-12,35.24988,27.380903
2019-07-13,23.531569,29.841124
2019-07-14,15.139369,25.789488
2019-07-15,35.12407,27.196442
2019-07-16,28.55374,28.277649
2019-07-17,21.08753,29.528059
2019-07-18,36.37101,30.980131
2019-07-19,45.89997,29.816336
2019-07-20,35.125156,27.316353
2019-07-21,39.376415,27.452398
2019-07-22,22.294674,24.646978
2019-07-23,34.34553,24.270615
2019-07-24,26.32196,27.137653
2019-07-25,31.40107,33.728012
2019-07-26,29.10979,34.612953
2019-07-27,30.944105,34.45514
2019-07-28,49.6323,28.962912
2019-07-29,26.789795,29.554037
2019-07-30,21.068748,29.988472
2019-07-31,24.001072,28.467505
2019-08-01,35.71635,26.585962
2019-08-02,50.62266,28.12159
2019-08-03,31.383223,26.012672
2019-08-04,13.3843355,25.378923
2019-08-05,44.94987,26.988668
2019-08-06,53.228962,25.338276
2019-08-07,34.619293,27.696424
2019-08-08,46.131283,33.65019
2019-08-09,26.090448,31.114252
2019-08-10,21.206518,30.539968
2019-08-11,15.772082,25.841314
2019-08-12,13.333442,26.816956
2019-08-13,11.295662,29.970568
2019-08-14,13.991465,28.614962
2019-08-15,35.06973,25.30471
2019-08-16,32.903374,32.977707
2019-08-17,27.699818,32.514427
2019-08-18,37.678486,31.661562
2019-08-19,49.648174,33.80159
2019-08-20,40.36793,31.584494
2019-08-21,63.011124,27.006903
2019-08-22,44.909878,32.127747
2019-08-23,40.544212,33.19825
2019-08-24,68.54997,29.26256
2019-08-25,47.910496,31.62351
2019-08-26,29.844501,31.141905
2019-08-27,30.317413,37.68274
2019-08-28,44.65029,38.156887
2019-08-29,57.722622,35.723618
2019-08-30,42.739185,38.674076
2019-08-31,34.47064,36.656868
2019-09-01,45.759712,36.002117
2019-09-02,29.338861,33.81119
2019-09-03,21.73119,35.001625
2019-09-04,34.575516,35.069057
2019-09-05,23.0666,35.709442
2019-09-06,34.22673,34.115467
2019-09-07,46.91616,32.873226
2019-09-08,39.93894,28.639475
2019-09-09,37.86957,28.815653
2019-09-10,29.809584,27.625034
2019-09-11,39.959362,27.72268
2019-09-12,30.507647,30.479326
2019-09-13,22.391243,29.02192
2019-09-14,34.120064,29.730396
2019-09-15,26.429998,29.68811
2019-09-16,33.615116,29.048765
2019-09-17,30.153135,29.344881
2019-09-18,29.690048,26.727695
2019-09-19,33.348705,26.898224
2019-09-20,23.83045,31.298916
