lon,lat,obs,pred
-18.05,3.9500000000000055,0.155,0.42118475
-18.05,4.05,0.059999995,0.52859694
-18.05,4.150000000000008,0.0050000004,0.6580538
-18.05,4.250000000000003,0.055,0.6748877
-18.05,4.350000000000011,0.11,0.8537624
-18.05,4.4500000000000055,0.015,0.9869108
-18.05,4.55,0.0,1.2667972
-18.05,4.650000000000008,0.0050000004,1.4465141
-18.05,4.750000000000003,0.0,1.6775244
-18.05,4.850000000000011,0.0050000004,1.837828
-18.05,4.9500000000000055,0.13499998,1.9928265
-18.05,5.05,0.11,2.3439028
-18.05,5.150000000000008,0.77,2.637344
-18.05,5.250000000000003,1.31,3.2190883
-18.05,5.350000000000011,0.9850001,3.8194468
-18.05,5.4500000000000055,0.32,4.434077
-18.05,5.55,0.13499998,5.037727
-18.05,5.650000000000008,0.0050000004,5.252629
-18.05,5.750000000000003,0.0,6.032604
-18.05,5.850000000000011,0.035000004,6.031892
-18.05,5.9500000000000055,0.285,6.431897
-18.05,6.05,0.0,6.5278273
-18.05,6.150000000000008,0.0050000004,7.0569606
-18.05,6.250000000000003,0.049999997,7.2931976
-18.05,6.350000000000011,0.23,7.957014
-18.05,6.4500000000000055,0.675,7.807498
-18.05,6.55,0.34000006,8.544677
-18.05,6.650000000000008,0.010000001,9.17532
-18.05,6.750000000000003,0.69,9.915806
-18.05,6.850000000000011,0.33499998,10.38891
-18.05,6.9500000000000055,0.13,10.756217
-18.05,7.05,0.84000003,11.578903
-18.05,7.150000000000008,1.1849998,11.872783
-18.05,7.250000000000003,2.17,12.8329935
-18.05,7.350000000000011,2.4149997,13.410667
-18.05,7.4500000000000055,1.155,14.287074
-18.05,7.55,0.6699999,14.742707
-18.05,7.650000000000008,0.049999997,15.355793
-18.05,7.750000000000003,0.0,15.902894
-18.05,7.850000000000011,0.065,15.2679
-18.05,7.9500000000000055,0.07,15.437429
-18.05,8.05,0.04,15.474533
-18.05,8.15000000000001,0.25,14.563536
-18.05,8.250000000000004,0.52,15.89188
-18.05,8.350000000000012,1.2049999,16.162798
-18.05,8.450000000000006,1.7399998,16.535833
-18.05,8.55,3.6299996,16.674711
-18.05,8.65000000000001,5.1899996,15.790147
-18.05,8.750000000000004,11.980001,15.287153
-18.05,8.850000000000012,14.585002,15.594809
-18.05,8.950000000000006,12.450002,13.773508
-18.05,9.05,13.149998,14.437306
-18.05,9.15000000000001,15.590002,13.960371
-18.05,9.250000000000004,21.914997,14.149836
-18.05,9.350000000000012,27.174997,13.595231
-18.05,9.450000000000006,35.780003,13.311825
-18.05,9.55,39.070004,13.048286
-18.05,9.65000000000001,44.98499,12.791113
-18.05,9.750000000000004,39.859993,13.193178
-18.05,9.850000000000012,35.42499,12.703813
-18.05,9.950000000000006,25.610003,13.724917
-18.05,10.05,18.469997,11.943924
-18.05,10.15000000000001,14.909999,13.612936
-18.05,10.250000000000004,10.609998,10.932775
-18.05,10.350000000000012,4.385,11.993337
-18.05,10.450000000000006,3.245,11.529967
-18.05,10.55,2.5000002,12.596488
-18.05,10.65000000000001,0.5,12.352666
-18.05,10.750000000000004,0.285,12.421351
-18.05,10.850000000000012,0.13,11.978878
-18.05,10.950000000000006,0.375,11.40397
-18.05,11.05,1.4749999,10.970956
-18.05,11.15000000000001,1.8349999,10.69126
-18.05,11.250000000000004,1.065,9.873448
-18.05,11.350000000000012,1.5300001,9.364636
-18.05,11.450000000000006,3.3749993,8.37712
-18.05,11.55,4.165,8.086799
-18.05,11.65000000000001,4.105,7.6998124
-18.05,11.750000000000004,4.959999,8.045884
-18.05,11.850000000000012,3.2250001,7.860274
-18.05,11.950000000000006,5.6250005,7.773872
-18.05,12.05,6.3950005,7.5276403
-18.05,12.15000000000001,1.5949999,6.7791357
-18.05,12.250000000000004,3.81,5.854434
-18.05,12.350000000000012,2.6300004,5.451697
-18.05,12.450000000000006,2.205,4.3559856
-18.05,12.55,2.1399999,4.45826
-18.05,12.65000000000001,0.89,4.3578944
-18.05,12.750000000000004,0.58,4.63755
-18.05,12.850000000000012,0.38999996,4.065843
-18.05,12.950000000000006,0.32,4.3578577
-18.05,13.05,0.08499999,3.74797
-18.05,13.15000000000001,0.0,4.0710554
-18.05,13.250000000000004,0.0,4.080532
-18.05,13.350000000000012,0.0,4.1385922
-18.05,13.450000000000006,0.030000001,4.3564487
-18.05,13.55,0.030000001,3.4883642
-18.05,13.65000000000001,0.0,3.5019946
-18.05,13.750000000000004,0.0,2.519594
-18.05,13.850000000000012,0.0,2.7055304
-18.05,13.950000000000006,0.02,2.5505364
-18.05,14.05,0.089999996,2.4928854
-18.05,14.15000000000001,0.0,2.6325495
-18.05,14.250000000000004,0.015,2.5059004
-18.05,14.350000000000012,0.0,2.3916347
-18.05,14.450000000000006,0.0,2.2270195
-18.05,14.55,0.0,2.0328813
-18.05,14.65000000000001,0.0,1.9626535
-18.05,14.750000000000004,0.0,1.7210801
-18.05,14.850000000000012,0.0,1.5291542
-18.05,14.950000000000006,0.0,1.360934
-18.05,15.05,0.0,1.1222053
-18.05,15.15000000000001,0.0,1.0382684
-18.05,15.250000000000004,0.0,0.92953783
-18.05,15.350000000000012,0.0,0.8874057
-18.05,15.450000000000006,0.0,0.97838604
-18.05,15.55,0.0,0.97108305
-18.05,15.65000000000001,0.010000001,0.98395514
-18.05,15.750000000000004,0.0,0.8777462
-18.05,15.850000000000012,0.0,0.8499197
-18.05,15.950000000000006,0.0,0.7042256
-18.05,16.05,0.0,0.70533437
-18.05,16.15000000000001,0.0,0.522313
-18.05,16.250000000000004,0.0,0.51204145
-18.05,16.350000000000012,0.33499998,0.43591022
-18.05,16.450000000000006,0.125,0.4197126
-18.05,16.55,0.0,0.3305593
-18.05,16.65000000000001,0.0,0.27966195
-18.05,16.750000000000004,0.0,0.24372739
-18.05,16.850000000000012,0.0,0.22190887
-18.05,16.950000000000006,0.0,0.205793
-18.05,17.05,0.0,0.15180789
-18.05,17.15000000000001,0.0,0.15732627
-18.05,17.250000000000004,0.0,0.13089938
-18.05,17.350000000000012,0.0,0.13010916
-18.05,17.450000000000006,0.0,0.11633186
-18.05,17.55,0.0,0.099756375
-18.05,17.65000000000001,0.0,0.10915569
-18.05,17.750000000000004,0.0,0.1894831
-18.05,17.850000000000012,0.0,0.21268195
-18.05,17.950000000000006,0.0,0.18480024
-17.95,3.9500000000000055,0.145,0.56780285
-17.95,4.05,0.074999996,0.7063724
-17.95,4.150000000000008,0.015,0.7650988
-17.95,4.250000000000003,0.145,0.86669886
-17.95,4.350000000000011,0.125,1.0522088
-17.95,4.4500000000000055,0.015,1.2673839
-17.95,4.55,0.044999998,1.4613165
-17.95,4.650000000000008,0.095,1.8154794
-17.95,4.750000000000003,0.0,2.0268536
-17.95,4.850000000000011,0.0,2.2653542
-17.95,4.9500000000000055,0.19999999,2.5106542
-17.95,5.05,0.375,2.896173
-17.95,5.150000000000008,1.4249998,3.5007985
-17.95,5.250000000000003,2.02,4.255952
-17.95,5.350000000000011,2.5000002,5.2659674
-17.95,5.4500000000000055,3.8299997,6.2136216
-17.95,5.55,1.155,6.9768724
-17.95,5.650000000000008,0.0050000004,7.4411526
-17.95,5.750000000000003,0.11,8.3089905
-17.95,5.850000000000011,0.20499998,9.270207
-17.95,5.9500000000000055,0.35999998,9.853167
-17.95,6.05,0.58,9.904615
-17.95,6.150000000000008,0.29,10.81182
-17.95,6.250000000000003,0.015,11.210063
-17.95,6.350000000000011,0.015,11.744153
-17.95,6.4500000000000055,0.015,12.398859
-17.95,6.55,0.0050000004,13.296761
-17.95,6.650000000000008,0.0,14.744824
-17.95,6.750000000000003,0.46,15.537376
-17.95,6.850000000000011,0.66499996,16.305574
-17.95,6.9500000000000055,0.40999994,17.0209
-17.95,7.05,0.51,18.24524
-17.95,7.150000000000008,0.64,19.642717
-17.95,7.250000000000003,1.2149999,20.961885
-17.95,7.350000000000011,2.06,22.2234
-17.95,7.4500000000000055,4.2200003,23.55533
-17.95,7.55,1.41,25.046892
-17.95,7.650000000000008,0.28,25.664913
-17.95,7.750000000000003,0.0050000004,26.399485
-17.95,7.850000000000011,0.06999999,26.260408
-17.95,7.9500000000000055,0.155,26.18365
-17.95,8.05,0.02,24.626844
-17.95,8.15000000000001,0.24499999,26.565607
-17.95,8.250000000000004,0.58,26.944155
-17.95,8.350000000000012,1.4950001,28.935776
-17.95,8.450000000000006,1.9700001,29.28813
-17.95,8.55,2.7050002,30.355465
-17.95,8.65000000000001,4.4100003,29.621828
-17.95,8.750000000000004,12.885002,28.393373
-17.95,8.850000000000012,17.175001,26.346283
-17.95,8.950000000000006,17.520002,25.322607
-17.95,9.05,16.380001,23.825565
-17.95,9.15000000000001,15.860002,23.958855
-17.95,9.250000000000004,23.400007,23.608376
-17.95,9.350000000000012,26.984999,22.814207
-17.95,9.450000000000006,34.35,21.722668
-17.95,9.55,41.249992,21.64175
-17.95,9.65000000000001,48.52,21.763716
-17.95,9.750000000000004,50.499996,21.254177
-17.95,9.850000000000012,41.979996,22.694103
-17.95,9.950000000000006,28.034998,21.729906
-17.95,10.05,21.375,22.252388
-17.95,10.15000000000001,14.935,20.05673
-17.95,10.250000000000004,10.940001,18.963232
-17.95,10.350000000000012,5.9500003,19.871656
-17.95,10.450000000000006,3.5500004,24.127989
-17.95,10.55,2.2099998,20.852066
-17.95,10.65000000000001,0.885,20.687622
-17.95,10.750000000000004,0.25,21.207642
-17.95,10.850000000000012,0.12499999,20.216446
-17.95,10.950000000000006,0.385,18.702868
-17.95,11.05,1.44,17.30837
-17.95,11.15000000000001,0.91,17.108866
-17.95,11.250000000000004,1.6600002,14.963706
-17.95,11.350000000000012,2.4799995,14.638676
-17.95,11.450000000000006,4.9500003,14.189609
-17.95,11.55,5.16,13.442718
-17.95,11.65000000000001,5.765,12.363615
-17.95,11.750000000000004,5.8099995,12.471395
-17.95,11.850000000000012,4.815,12.425534
-17.95,11.950000000000006,9.600001,11.97129
-17.95,12.05,3.685,11.303897
